Rank,Author,Title,Citations,Year,Source,cit/year
4,"Comaniciu, V Ramesh, P Meer",Kernel-based object tracking,6748,2003,https://ieeexplore.ieee.org/abstract/document/1195991/,355
1,"Yilmaz, O Javed, M Shah",Object tracking: A survey,6495,2006,https://dl.acm.org/doi/abs/10.1145/1177352.1177355,406
2,"Wu, J Lim, MH Yang",Online object tracking: A benchmark,4725,0,https://www.cv-foundation.org/openaccess/content_cvpr_2013/html/Wu_Online_Object_Tracking_2013_CVPR_paper.html,2
17," Bolme, JR Beveridge, BA Draper…",Visual object tracking using adaptive correlation filters,2365,2010,https://ieeexplore.ieee.org/abstract/document/5539960/?casa_token=wFFJndfLrdUAAAAA:AhhJeYMcI9YiPNXjNmmhHsmPubMMO-A2ji2E4mNXwiIxgLediZcuWE_rnXY3AG-mSgeccBXZLEQ,197
10,"Babenko, MH Yang…",Robust object tracking with online multiple instance learning,2322,2010,https://ieeexplore.ieee.org/abstract/document/5674053/,194
14,"Bertinetto, J Valmadre, JF Henriques…",Fully-convolutional siamese networks for object tracking,1865,2016,https://link.springer.com/chapter/10.1007/978-3-319-48881-3_56,311
13,"Bernardin, R Stiefelhagen",Evaluating multiple object tracking performance: the clear mot metrics,1590,2008,https://link.springer.com/content/pdf/10.1155/2008/246309.pdf,114
6,"Kristan, J Matas, A Leonardis…",The visual object tracking vot2015 challenge results,1266,0,https://www.cv-foundation.org/openaccess/content_iccv_2015_workshops/w14/html/Kristan_The_Visual_Object_ICCV_2015_paper.html,1
24,"Zhong, H Lu, MH Yang",Robust object tracking via sparsity-based collaborative model,1189,2012,https://ieeexplore.ieee.org/abstract/document/6247882/?casa_token=5FE7XWnyyVsAAAAA:khjR4r-KSNYoKp0mjJ43mc1543xe0BG3VIWezn3JsRGRZZLSr46LdeQ_iFHY5Xn9tD-TnzodeiA,119
52,"Koller, K Daniilidis, HH Nagel",Model-based object tracking in monocular image sequences of road traffic scenes,1080,1993,https://link.springer.com/content/pdf/10.1007/BF01539538.pdf,37
38,"Berclaz, F Fleuret, E Turetken…",Multiple object tracking using k-shortest paths optimization,1061,2011,https://ieeexplore.ieee.org/abstract/document/5708151/?casa_token=Zag1zXF89joAAAAA:tVNT7kX22BzvwMpbaP80dp_Q41NTa8xQDkdqCGBPLoSot9HxzWvB1vh-TGHBT_qg-xRX1S4YGiI,96
35,"Zhang, Y Li, R Nevatia",Global data association for multi-object tracking using network flows,1029,2008,https://ieeexplore.ieee.org/abstract/document/4587584/?casa_token=oPaqhI65CxkAAAAA:MQLzIfkr1O6sEjCIB6rJ2Dd9yU0qvCM22XfDmy9ip6nw4a5IWkb0eqOOpS3VwULNS0VwtzhDLVI,74
30,"Li, W Hu, C Shen, Z Zhang, A Dick…",A survey of appearance models in visual object tracking,752,2013,https://dl.acm.org/doi/abs/10.1145/2508037.2508039,84
108,"Yilmaz, X Li, M Shah",Contour-based object tracking with occlusion handling in video acquired using mobile cameras,729,2004,https://ieeexplore.ieee.org/abstract/document/1335457/?casa_token=gvjwSxuo6uMAAAAA:Cj1Q6WvKAhwtdalNbq6Xx2oP8uDCiEHfIrJRUb6Pkr81kwPUfrBnhJL2E_kn8NnqbVk1t_zan5w,40
18,"Zhou, Y Yuan, C Shi",Object tracking using SIFT features and mean shift,728,2009,https://www.sciencedirect.com/science/article/pii/S1077314208001331?casa_token=YedZY03phIMAAAAA:FACS5UUxVbzNMkYs2w3Re44JEB-zVpJld-C5XpH2cUsBJmPB9GKJdbi64dnmZmsM41CGIm_6344,56
16,"Milan, L Lea",MOT16: A benchmark for multi-object tracking,713,2016,https://arxiv.org/abs/1603.00831,119
11," Wang, C Thorpe, S Thrun…","Simultaneous localization, mapping and moving object tracking",686,2007,https://journals.sagepub.com/doi/abs/10.1177/0278364907081229,46
31, Bradski,Real time face and object tracking as a component of a perceptual user interface,672,1998,https://ieeexplore.ieee.org/abstract/document/732882/?casa_token=FJ-EG67KI5UAAAAA:1qQPfe5rGg7HJ44P8YiVwY0_uaWzY6t-EO_ajhA0RF6sluvYH5p5N2T--zGbFFHvrEYxN6Jdwu8,28
196," Green, D Bavelier",Enumeration versus multiple object tracking: The case of action video game players,668,2006,https://www.sciencedirect.com/science/article/pii/S0010027705001873?casa_token=XoGldzSrPQUAAAAA:PzcAB4j0eNo4RNStudJ0yIRtWWMlLX2yqbjTznjlEBqko9sMOQNQs6EEJ9hCEfJFMj9A27cbBls,42
43,"Huang, B Wu, R Nevatia",Robust object tracking by hierarchical association of detection responses,638,2008,https://link.springer.com/chapter/10.1007/978-3-540-88688-4_58,46
