Rank,Author,Title,Citations,Year,Source,cit/year
4,"Zhang, Y Li, R Nevatia",Global data association for multi-object tracking using network flows,1029,2008,https://ieeexplore.ieee.org/abstract/document/4587584/,74
1,"Milan, L Lea",MOT16: A benchmark for multi-object tracking,713,2016,https://arxiv.org/abs/1603.00831,119
6,"Gaidon, Q Wang, Y Cabon, E Vig",Virtual worlds as proxy for multi-object tracking analysis,624,0,https://www.cv-foundation.org/openaccess/content_cvpr_2016/html/Gaidon_Virtual_Worlds_as_CVPR_2016_paper.html,0
3,"Xiang, A Alahi, S Savarese",Learning to track: Online multi-object tracking by decision making,502,0,https://www.cv-foundation.org/openaccess/content_iccv_2015/html/Xiang_Learning_to_Track_ICCV_2015_paper.html,0
21," Zamir, A Dehghan, M Shah",Gmcp-tracker: Global multi-object tracking using generalized minimum clique graphs,397,2012,https://link.springer.com/chapter/10.1007/978-3-642-33709-3_25,40
11," Bae, KJ Yoon",Robust online multi-object tracking based on tracklet confidence and online discriminative appearance learning,393,2014,http://openaccess.thecvf.com/content_cvpr_2014/html/Bae_Robust_Online_Multi-Object_2014_CVPR_paper.html,49
7,"Leibe, K Schindler, L Van Gool",Coupled detection and trajectory estimation for multi-object tracking,377,2007,https://ieeexplore.ieee.org/abstract/document/4408936/,25
24,"A Perera, C Srinivas, A Hoogs…",Multi-object tracking through simultaneous long occlusions and split-merge conditions,340,2006,https://ieeexplore.ieee.org/abstract/document/1640818/?casa_token=Mz05zAQ3-QcAAAAA:Rf13rwsRQ0Yk8NaN2U1-HWsWr1H-CtYUI7x94qdTS0eO2T_hDtRiO7ddSuKob0E9z1QJ0AXdbUI,21
96,"Brendel, M Amer, S Todorovic",Multiobject tracking as maximum weight independent set,324,2011,https://ieeexplore.ieee.org/abstract/document/5995395/?casa_token=1ci_TYXgaAYAAAAA:GHvD9UvNiS8NYuF6YJ1npKXwfrkyIcWQtg_3EsFAVcZBvFOOSGaWfcRUlGa9bum8HurKPe1u5YM,29
22,"Xing, H Ai, S Lao",Multi-object tracking through occlusions by local tracklets filtering and global tracklets association with detection responses,288,2009,https://ieeexplore.ieee.org/abstract/document/5206745/?casa_token=P7XahDWEjD4AAAAA:6LIF8Vh13kXgpHUmlETk2QvZb8ebNJvy2SJo2LHkIAKrxZ6g8P9vkwRcMSKhTO0G8X1nzChxU7U,22
2,"Smith, D Gatic",Evaluating multi-object tracking,199,2005,https://ieeexplore.ieee.org/abstract/document/1565334/,12
13," Yoon, MH Yang, J Lim…",Bayesian multi-object tracking using motion context from multiple objects,191,2015,https://ieeexplore.ieee.org/abstract/document/7045866/?casa_token=5lu1_2wLSm4AAAAA:2qJZSIqNXjOFCaWbyKdn125JuOMOWWRWQ3Qp0xprj0IgkBiO2fNhzrQwpV9s-jxEuE0s-kK_UGA,27
26,"Hess, A Fern",Discriminatively trained particle filters for complex multi-object tracking,177,2009,https://ieeexplore.ieee.org/abstract/document/5206801/?casa_token=Ay8gW03dMPYAAAAA:fNy-0MxI3kFAFoAWE9ud8ss80mgIt-yp4Pa6xWdUZy2nLBu8tWwbyBT7ei3dG2AxRaIOHSyfTls,14
38,"Chu, W Ouyang, H Li, X Wang…",Online multi-object tracking using CNN-based single object tracker with spatial-temporal attention mechanism,176,2017,http://openaccess.thecvf.com/content_iccv_2017/html/Chu_Online_Multi-Object_Tracking_ICCV_2017_paper.html,35
9,"Son, M Baek, M Cho, B Han",Multi-object tracking with quadruplet convolutional neural networks,163,2017,http://openaccess.thecvf.com/content_cvpr_2017/html/Son_Multi-Object_Tracking_With_CVPR_2017_paper.html,33
55," Bae, KJ Yoon",Confidence-based data association and discriminative deep appearance learning for robust online multi-object tracking,163,2017,https://ieeexplore.ieee.org/abstract/document/7893777/?casa_token=nk1IDvwM6wQAAAAA:3I-1PWGgPZzznf8PIw2MoLzabdWVl4n0p8y-WTeymWG3pO4HtZ48n7u0iizJnX_EvSJO8EzL060,33
14,"Zhu, H Yang, N Liu, M Kim…",Online multi-object tracking with dual matching attention networks,158,2018,http://openaccess.thecvf.com/content_ECCV_2018/html/Ji_Zhu_Online_Multi-Object_Tracking_ECCV_2018_paper.html,40
41," Yoon, CR Lee, MH Yang…",Online multi-object tracking via structural constraint event aggregation,158,2016,http://openaccess.thecvf.com/content_cvpr_2016/html/Yoon_Online_Multi-Object_Tracking_CVPR_2016_paper.html,26
20,"Takala, M Pietikainen","Multi-object tracking using color, texture and motion",150,2007,https://ieeexplore.ieee.org/abstract/document/4270504/?casa_token=fV8Mp6QLRb8AAAAA:2XctQ-LJCEpBY5IMJsvhbuMlIjr-aao5F-YUXTgkgmVEPCkHGzIHkDh7s1zHJbewfU9dtoPww8M,10
54," Henriques, R Caseiro…",Globally optimal solution to multi-object tracking with merged measurements,150,2011,https://ieeexplore.ieee.org/abstract/document/6126532/?casa_token=xX8gXGMT47cAAAAA:8J3fGsK5CJKsQ9gbR850J9HdRH3pJtTEadm4D8auLcWMGu9ZJSND66TmfjgqHaQfOf1_n5GVILE,14
8,"Voigtlaender, M Krause, A Osep…",Mots: Multi-object tracking and segmentation,145,2019,http://openaccess.thecvf.com/content_CVPR_2019/html/Voigtlaender_MOTS_Multi-Object_Tracking_and_Segmentation_CVPR_2019_paper.html,48
